id,signup_method,gender,age,language,affiliate_channel,affiliate_provider,signup_app,first_device_type,first_browser,booking,treatment,total_actions,unique_actions,total_secs_elapsed,avg_secs_per_action
d1mm9tcy42,basic,MALE,62.0,en,sem-non-brand,google,Web,Windows Desktop,Chrome,1,0,126,16,3427529.0,27202.61111111111
xwxei6hdk4,facebook,FEMALE,32.0,en,seo,google,Web,iPad,Mobile Safari,1,0,5,4,49673.0,8278.833333333334
qtw88d9pbl,basic,MALE,25.0,en,direct,direct,Web,Mac Desktop,Chrome,0,0,353,30,2868205.0,7901.391184573003
awiurksqr3,facebook,FEMALE,32.0,en,direct,direct,Web,iPad,Mobile Safari,1,0,7,7,367207.0,52458.142857142855
cuxu2kbaep,basic,MALE,30.0,en,direct,direct,Web,iPad,Mobile Safari,0,0,9,7,90623.0,11327.875
jrqykh9y8x,facebook,FEMALE,27.0,zh,seo,google,Web,Mac Desktop,Chrome,1,0,1152,36,14742017.0,12621.589897260274
s9xrwtyzsq,basic,MALE,30.0,en,sem-brand,google,Web,iPad,Mobile Safari,1,0,72,27,2155024.0,29930.88888888889
1ltangt0hg,basic,MALE,23.0,en,direct,direct,Web,Mac Desktop,Chrome,0,0,95,12,334093.0,3554.18085106383
8s14bomsx5,basic,FEMALE,30.0,en,direct,direct,iOS,iPhone,-unknown-,0,1,121,10,767521.0,6396.008333333333
ayguekg4tf,facebook,MALE,39.0,en,direct,direct,Web,iPad,Mobile Safari,0,0,18,13,276521.0,16265.941176470587
toga865pvz,facebook,FEMALE,27.0,en,api,other,iOS,iPhone,-unknown-,0,1,866,37,5725407.0,6611.324480369515
oa8oz6sj6s,basic,MALE,40.0,en,direct,direct,Web,Mac Desktop,Chrome,1,0,146,14,1144860.0,7895.586206896552
w19d8pogt0,facebook,FEMALE,35.0,en,remarketing,google,Web,Mac Desktop,Safari,0,0,2,2,419.0,419.0
7105aijtcm,facebook,MALE,48.0,en,api,other,iOS,iPad,Mobile Safari,0,1,10,8,561636.0,62404.0
9v9pjiw5s1,basic,MALE,25.0,en,sem-brand,google,Web,Mac Desktop,Safari,1,0,16,14,829512.0,51844.5
